2019/01/01 21:16:49 [error] 18611#0: *8 open() "/Users/dcy/awesome/nginx-ge-profile/websites/a/a" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /a HTTP/1.1", host: "localhost:8000"
2019/01/01 21:22:45 [error] 18611#0: *14 open() "/Users/dcy/awesome/nginx-ge-profile/websites/a/b/zan.png" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /b/zan.png HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2019/01/01 21:22:46 [error] 18611#0: *14 open() "/Users/dcy/awesome/nginx-ge-profile/websites/a/b/zan.png" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /b/zan.png HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2019/01/01 21:23:07 [error] 19085#0: *16 open() "/Users/dcy/awesome/nginx-ge-profile/websites/b/b/zan.png" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /b/zan.png HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2019/01/01 21:23:09 [error] 19085#0: *16 open() "/Users/dcy/awesome/nginx-ge-profile/websites/b/b/zan.png" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /b/zan.png HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2019/01/01 21:48:10 [error] 19718#0: *93 open() "/Users/dcy/awesome/nginx-ge-profile/websites/b/b/zan.png" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /b/zan.png HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2019/01/01 22:02:04 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:02:14 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:02:24 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:02:34 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:02:44 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:02:55 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
2019/01/01 22:03:05 [error] 20174#0: *96 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 192.168.1.3, server: , request: "GET http://127.0.0.1:63342/browserConnection/buildInfo HTTP/1.1", upstream: "http://127.0.0.1:63342/browserConnection/buildInfo", host: "127.0.0.1:63342"
